family	series_id	series_display	is_main_series	reform	reform_display	spec_name	event_time	event_token	is_reference	observed_in_sample	beta	se	pvalue	n_obs	r2
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-12	-12	0	1	0.16106518311237572	8.881784197001144e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-11	-11	0	1	0.07009794162648618	4.440892098500619e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-10	-10	0	1	0.1837386809567647	4.440892098500621e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-9	-9	0	1	0.1626543372838977	8.881784197001013e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-8	-8	0	1	-0.06263310101653818	1.7763568394002229e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-7	-7	0	1	-0.005876155691643558			37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-6	-6	0	1	-0.07345190742101337	3.552713678800483e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-5	-5	0	1	-0.08530415823856768	8.881784197001076e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-4	-4	0	1	-0.04966972047084628	1.7763568394002303e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-3	-3	0	1	-0.07550969744388225	1.7763568394002323e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-2	-2	0	1	0.012870933022236741			37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-1	-1	1	1	0.0	0.0		37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	0	0	0	1	0.08362449415858908	3.5527136788004907e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	1	1	0	1	-0.044411903778108705			37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	2	2	0	1	0.05299963072147751	1.776356839400233e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	3	3	0	1	0.02148664039366049	1.7763568394002412e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	4	4	0	1	-0.17204295742337017	8.881784197000906e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	5	5	0	1	-0.16856114164873773	2.6645352591003666e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	6	6	0	1	-0.24249211374158808	8.881784197000964e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	7	7	0	1	-0.07123238812913622	1.7763568394002327e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	8	8	0	1	0.11654186232251096	8.881784197000929e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	9	9	0	1	0.11823991396451088			37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	10	10	0	1	0.42971347906935087	1.77635683940023e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	11	11	0	1	0.41257595707737127	8.881784197000906e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	12	12	0	1	0.8516863210922789	8.881784197000872e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	13	13	0	1	0.9325990922497023	1.7763568394002278e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	14	14	0	1	1.9975966794312958	3.5527136788004954e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	15	15	0	1	2.0460257416827656	2.6645352591003698e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	16	16	0	1	0.13301785451089376	1.0607465767471827e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	17	17	0	1	0.046209960913733195	1.255372837131326e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	18	18	0	1	3.546468914399835	1.0607465767471807e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	19	19	0	1	0.383539541641329	1.7276113996214016e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	20	20	0	1	-1.0437738619639103	8.54840831658359e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	21	21	0	1	-0.8300951162437387	1.7758611349565549e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	22	22	0	1	-0.763346728763461	6.9078970291205e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	23	23	0	1	-0.2448963464171704	8.595199232945706e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	24	24	0	1	0.7202266808855171	8.59519923294575e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-12	-12	0	1	1.223564661351424	9.956701836694595e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-11	-11	0	1	1.0360065582073976	3.058237950354801e-14	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-10	-10	0	1	1.0530564358796202	4.936454040273151e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-9	-9	0	1	0.9353812305486515	6.729671214242248e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-8	-8	0	1	0.6135029305901174	8.177643923840794e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-7	-7	0	1	0.5736690142569193	8.395619176673649e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-6	-6	0	1	0.409502400869461	5.9004011654064716e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-5	-5	0	1	0.3010592883938044	7.916402494662533e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-4	-4	0	1	0.24010286450342733	1.0286322987476198e-14	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-3	-3	0	1	0.11767202587230599	3.610320876892917e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-2	-2	0	1	0.10946179468032913	3.736853417780993e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-1	-1	1	1	0.0	0.0		37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	0	0	0	1	-0.012966367499504194	4.35682179644773e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	1	1	0	1	-0.23759362709429627	3.8445515305956786e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	2	2	0	1	-0.2367729542528103	7.255033019855307e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	3	3	0	1	-0.36487680623872476	1.0385250900502765e-14	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	4	4	0	1	-0.0734268332721646	5.094633677671723e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	5	5	0	1	-0.16653587915562706	7.082768211765988e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	6	6	0	1	-0.3370577129065766	7.193580445343838e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	7	7	0	1	-0.26238884895222014	1.0438711473563855e-14	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	8	8	0	1	-0.17120546015866545	6.052017187741619e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	9	9	0	1	-0.2660982701747554	3.88768753448621e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	10	10	0	1	-0.051215566728017414	7.456754707464591e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	11	11	0	1	-0.1649439503780914	9.81685375123056e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	12	12	0	1	0.177575551978725	6.097400745642972e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	13	13	0	1	0.1618974614780524	7.244494127040072e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	14	14	0	1	1.1303041870015447	1.2548363910589084e-14	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	15	15	0	1	1.082142387594935	6.226312260400126e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	16	16	0	1	0.2540095893951513	3.0680857685339826e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	17	17	0	1	0.070610834139889	6.080765353070519e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	18	18	0	1	3.474278925967891	1.2792391703694351e-14	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	19	19	0	1	0.21475869155129956	3.1950362574191025e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	20	20	0	1	-1.3091455737120299	3.782360948053079e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	21	21	0	1	-1.1920576896499555	5.0387586563474976e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	22	22	0	1	-1.2219001638277587	9.841038183910366e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	23	23	0	1	-0.7915694749820109	1.1351638959530333e-14	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	24	24	0	1	0.0769626906625982	5.349291015262709e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-12	-12	0	1	-0.0023990163987903657	5.645656280000641e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-11	-11	0	1	0.0010827993758386611	3.028092692322796e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-10	-10	0	1	-0.07284817271701538	3.11719213465293e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-9	-9	0	1	0.09841155289544634	4.6295124778644984e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-8	-8	0	1	0.28618580334708943	3.5486968723274316e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-7	-7	0	1	0.28788385498908964	2.5757729033751125e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-6	-6	0	1	0.5993574200939267	1.8402523739334406e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-5	-5	0	1	0.5822198981019526	3.516629155224164e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-4	-4	0	1	1.0213302621168596	5.3867553249157994e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-3	-3	0	1	-1.1134266494330678	3.131200106628006e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-2	-2	0	1	-0.04842906225147825	3.0583715352488826e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-1	-1	1	1	0.0	0.0		36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	0	0	0	1	-0.4409873226771994	2.556614181262314e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	1	1	0	1	-0.5277952162743608	3.356998883401274e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	2	2	0	1	2.972463737211741	3.783145610336722e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	3	3	0	1	-0.19046563554676416	5.2759378799222916e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	4	4	0	1	-1.617779039152004	5.3078812870950224e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	5	5	0	1	-1.4041002934318312	6.4310846920708186e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	6	6	0	1	-1.3373519059515555	5.178925639311174e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	7	7	0	1	-1.8155917536315933	5.687116766346712e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	8	8	0	1	-0.8504687263289075	4.528839093602972e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	9	9	0	1	-0.6914561495598046	1.1735655290742832e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	10	10	0	1	-0.19266686027311675	1.2703760546728557e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	11	11	0	1	-0.01870757762650177	1.7573625367414106e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	12	12	0	1	0.34390169249290636	2.4172589871804355e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	13	13	0	1	0.20775718211890615	1.776894985652775e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	14	14	0	1	0.9548729042847173	9.95384805227659e-16	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	15	15	0	1	0.08403394837937661	8.902489223363252e-16	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	16	16	0	1	0.7913902539726623	2.7565303878728647e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	17	17	0	1	0.1117071621028094	1.826669870858974e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	18	18	0	1	-0.0774162950517514	1.7914457357644566e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	19	19	0	1	-0.10976337156716465	1.8032635660085166e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	20	20	0	1	-0.19899218364833704	1.8497800263042433e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	21	21	0	1	-0.12152394785758291	1.972050824160011e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	22	22	0	1	-0.2868976436027735	2.964447061394284e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	23	23	0	1	-0.031234327647005067	1.1735655290742832e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-12	-12	0	1	0.11907361802501759	1.830533376849211e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-11	-11	0	1	0.04088657504098192	1.870217568708676e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-10	-10	0	1	-0.11471325581050529	1.387427635484795e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-9	-9	0	1	-0.025122388956683395	8.836126196002776e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-8	-8	0	1	0.0809830027363243	8.051545918973285e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-7	-7	0	1	0.0010121956196917914	5.614583385545816e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-6	-6	0	1	0.23081690196589566	4.540808848674502e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-5	-5	0	1	0.13201052121527024	1.4883543035383502e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-4	-4	0	1	0.4894520264715423	1.3999745886546347e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-3	-3	0	1	-0.9500889319157969	1.0047743255867203e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-2	-2	0	1	0.033239796507158914	6.927497661876321e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-1	-1	1	1	0.0	0.0		36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	0	0	0	1	-0.5226561814358313	5.5724386885361405e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	1	1	0	1	-0.6911329337916428	1.4033067351114562e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	2	2	0	1	2.7274571609358267	1.3097481386858487e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	3	3	0	1	-0.5171410705813165	1.4734851885489577e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	4	4	0	1	-2.0261233329451898	1.482642327256834e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	5	5	0	1	-1.894113445983642	1.0336312289601272e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	6	6	0	1	-1.9090339172620112	1.5993742892118123e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	7	7	0	1	-2.4689426237006664	1.3290814471296814e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	8	8	0	1	-1.5854884551566304	1.3095128524717747e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	9	9	0	1	-0.2142986607440185	1.2079051062660253e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	10	10	0	1	0.20282176978401845	8.329682564324177e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	11	11	0	1	0.29511219367198205	1.7538275739369575e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	12	12	0	1	0.5760526050327455	2.3902596309977084e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	13	13	0	1	0.35823923590012674	8.451656147247688e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	14	14	0	1	1.023686099307283	2.28649788229878e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	15	15	0	1	0.07117828464332776	4.923440619192722e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	16	16	0	1	0.6968657314779598	1.5613850314114265e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	17	17	0	1	-0.06448621915051378	5.831517775550129e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	18	18	0	1	-0.3352785350637246	1.732867088510911e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	19	19	0	1	-0.4492944703377595	7.268182777972453e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	20	20	0	1	-0.6201921411775784	1.4481147909063154e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	21	21	0	1	-0.6243927641454432	8.946410646813256e-15	0.0	36	1.0
